SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,SLURM_NTASKS_PER_NODE,SLURM_CPUS_PER_TASK,SLURM_CPU_FREQ_REQ,OMP_NUM_THREADS,PROG,QREG_SIZE,TARGET_IDX,NGATES,RUNTIME,ENERGY
4104347,had-t0b,64,64,1,128,2000000,128,hbench,38,0,50,24.2724,633640
4104349,had-t1b,64,64,1,128,2000000,128,hbench,38,1,50,24.8747,639710
4104351,had-t2b,64,64,1,128,2000000,128,hbench,38,2,50,24.6648,637470
4104353,had-t3b,64,64,1,128,2000000,128,hbench,38,3,50,28.8873,726540
4104355,had-t4b,64,64,1,128,2000000,128,hbench,38,4,50,25.2435,647730
4104357,had-t5b,64,64,1,128,2000000,128,hbench,38,5,50,24.8629,651240
4104359,had-t6b,64,64,1,128,2000000,128,hbench,38,6,50,26.741,671310
4104361,had-t7b,64,64,1,128,2000000,128,hbench,38,7,50,25.441,641420
4104363,had-t8b,64,64,1,128,2000000,128,hbench,38,8,50,25.1639,641580
4104365,had-t9b,64,64,1,128,2000000,128,hbench,38,9,50,25.4895,652470
4104367,had-t10b,64,64,1,128,2000000,128,hbench,38,10,50,26.0822,661250
4104369,had-t11b,64,64,1,128,2000000,128,hbench,38,11,50,25.931099999999997,662610
4104371,had-t12b,64,64,1,128,2000000,128,hbench,38,12,50,25.214599999999997,643770
4104374,had-t13b,64,64,1,128,2000000,128,hbench,38,13,50,25.5978,652530
4104377,had-t14b,64,64,1,128,2000000,128,hbench,38,14,50,24.6483,644470
4104379,had-t15b,64,64,1,128,2000000,128,hbench,38,15,50,24.581799999999998,636280
4104381,had-t16b,64,64,1,128,2000000,128,hbench,38,16,50,24.826700000000002,651450
4104383,had-t17b,64,64,1,128,2000000,128,hbench,38,17,50,24.4178,634600
4104385,had-t18b,64,64,1,128,2000000,128,hbench,38,18,50,24.4979,631110
4104387,had-t19b,64,64,1,128,2000000,128,hbench,38,19,50,25.347,659720
4104389,had-t20b,64,64,1,128,2000000,128,hbench,38,20,50,25.3774,654850
4104391,had-t21b,64,64,1,128,2000000,128,hbench,38,21,50,24.4724,639250
4104393,had-t22b,64,64,1,128,2000000,128,hbench,38,22,50,24.435599999999997,634900
4104395,had-t23b,64,64,1,128,2000000,128,hbench,38,23,50,24.460900000000002,644890
4104397,had-t24b,64,64,1,128,2000000,128,hbench,38,24,50,24.4723,640070
4104413,had-t25b,64,64,1,128,2000000,128,hbench,38,25,50,27.7312,730490
4104415,had-t26b,64,64,1,128,2000000,128,hbench,38,26,50,27.6142,734000
4104417,had-t27b,64,64,1,128,2000000,128,hbench,38,27,50,25.457900000000002,705160
4104419,had-t28b,64,64,1,128,2000000,128,hbench,38,28,50,25.562099999999997,701780
4104422,had-t29b,64,64,1,128,2000000,128,hbench,38,29,50,25.5231,715710
4104424,had-t30b,64,64,1,128,2000000,128,hbench,38,30,50,29.3206,727600
4104446,had-t31b,64,64,1,128,2000000,128,hbench,38,31,50,40.1968,966580
4104448,had-t32b,64,64,1,128,2000000,128,hbench,38,32,50,481.519,8640000
4104450,had-t33b,64,64,1,128,2000000,128,hbench,38,33,50,484.821,8790000
4104452,had-t34b,64,64,1,128,2000000,128,hbench,38,34,50,495.982,8920000
4104454,had-t35b,64,64,1,128,2000000,128,hbench,38,35,50,489.085,8970000
4104494,had-t36b,64,64,1,128,2000000,128,hbench,38,36,50,526.115,9500000
4104497,had-t37b,64,64,1,128,2000000,128,hbench,38,37,50,485.359,8680000
