SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,SLURM_NTASKS_PER_NODE,SLURM_CPUS_PER_TASK,SLURM_CPU_FREQ_REQ,OMP_NUM_THREADS,PROG,QREG_SIZE,TARGET_IDX_1,TARGET_IDX_2,NGATES,RUNTIME,ENERGY
4104652,s-0-35n,64,64,1,128,2000000,128,swapbench,38,0,35,50,445.041,8109999.999999999
4104654,s-0-36n,64,64,1,128,2000000,128,swapbench,38,0,36,50,443.048,8020000
4104656,s-0-37n,64,64,1,128,2000000,128,swapbench,38,0,37,50,442.118,8050000.000000001
4104658,s-4-35n,64,64,1,128,2000000,128,swapbench,38,4,35,50,431.092,7980000
4104660,s-4-36n,64,64,1,128,2000000,128,swapbench,38,4,36,50,428.925,7800000
4104662,s-4-37n,64,64,1,128,2000000,128,swapbench,38,4,37,50,430.172,7930000
4104664,s-8-35n,64,64,1,128,2000000,128,swapbench,38,8,35,50,420.681,7770000
4104666,s-8-36n,64,64,1,128,2000000,128,swapbench,38,8,36,50,419.819,7590000
4104668,s-8-37n,64,64,1,128,2000000,128,swapbench,38,8,37,50,421.914,7850000
4104670,s-12-35n,64,64,1,128,2000000,128,swapbench,38,12,35,50,412.387,7380000
4104672,s-12-36n,64,64,1,128,2000000,128,swapbench,38,12,36,50,411.187,7360000
4104674,s-12-37n,64,64,1,128,2000000,128,swapbench,38,12,37,50,411.155,7260000
4104676,s-16-35n,64,64,1,128,2000000,128,swapbench,38,16,35,50,410.345,7540000
4104678,s-16-36n,64,64,1,128,2000000,128,swapbench,38,16,36,50,413.009,7840000
4104680,s-16-37n,64,64,1,128,2000000,128,swapbench,38,16,37,50,411.794,7400000
